pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,antonym,hasa,hasproperty,isa,madeof,partof,synonym,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,hasa,Ġcontains,1,hasa,Ġcontains,lobby,wall,True,['Ġlobby'],['Ġwall'],1,1,0.17174363,0.3876582,0.024317784,0.1628036,0.056010623,0.03878318,0.15868291,2.3593974,4,9,Ġcontains,Ġcontrary,Ġsubclass,Ġequivalent,Ġmaterial,Ġpart,Ġattribute,Ġcontain,Ġincludes,Ġhas,Ġcontaining,Ġcontained,Ġlacks,Ġattributes
6,synonym,Ġequivalent,3,isa,Ġsubclass,call,order,False,['Ġcall'],['Ġorder'],1,1,0.03221391,0.0035327917,0.0037625674,0.37951893,0.0004023549,0.006206946,0.57436246,1.2587289,41,24,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġattribute,Ġcontains,Ġmaterial,Ġanalogous,Ġsimilar,Ġequal,Ġcontain,Ġopposite,Ġsuperior,Ġan
6,synonym,Ġequivalent,3,isa,Ġsubclass,keep,store,False,['Ġkeep'],['Ġstore'],1,1,0.1436844,0.0014955354,0.0021766676,0.32454222,0.0002970597,0.0057670977,0.52203697,1.4982927,25,6,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġattribute,Ġcontains,Ġmaterial,Ġanalogous,Ġsimilar,Ġopposite,Ġsuperior,Ġalternative,Ġequal,Ġsubstitute
6,synonym,Ġequivalent,6,synonym,Ġequivalent,see,view,True,['Ġsee'],['Ġview'],1,1,0.012000104,0.000820649,0.0010546319,0.3723257,0.00022734201,0.0054833335,0.6080882,1.1064396,25,13,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġattribute,Ġcontains,Ġsimilar,Ġmaterial,Ġanalogous,Ġalternative,Ġrelated,Ġother,Ġcomparable,Ġcomponent
6,synonym,Ġequivalent,0,antonym,Ġcontrary,brake,pedal,False,['Ġbrake'],['Ġpedal'],1,1,0.04569617,0.008867405,0.0025559715,0.21726762,0.005031756,0.113133945,0.60744715,1.5953696,7,5,Ġequivalent,Ġsubclass,Ġpart,Ġcontrary,Ġcontains,Ġmaterial,Ġattribute,Ġcomponent,Ġsection,Ġportion,Ġof,Ġor,Ġanalogous,Ġcontain
3,isa,Ġsubclass,3,isa,Ġsubclass,lake,place,True,['Ġlake'],['Ġplace'],1,1,0.00024815617,0.0002912392,0.000573574,0.9962186,0.0003752654,0.0003792749,0.0019138252,0.0438751,3,32,Ġsubclass,Ġequivalent,Ġattribute,Ġpart,Ġmaterial,Ġcontains,Ġcontrary,Ġtype,Ġclass,Ġform,Ġsimilar,Ġkind,Ġis,Ġcomponent
0,antonym,Ġcontrary,0,antonym,Ġcontrary,boy,female,True,['Ġboy'],['Ġfemale'],1,1,0.9725927,0.00039772535,0.010776436,0.0070019225,0.00010941777,0.0007225382,0.008399206,0.23093683,4,5,Ġcontrary,Ġattribute,Ġequivalent,Ġsubclass,Ġpart,Ġcontains,Ġopposite,Ġmaterial,Ġsuperior,Ġattributes,Ġequal,Ġinferior,ĠContrary,Ġalternative
1,hasa,Ġcontains,0,antonym,Ġcontrary,hill,crater,False,['Ġhill'],['Ġcrater'],1,1,0.2485591,0.3980913,0.043030325,0.12210164,0.0055312472,0.012458797,0.17022768,2.1490543,6,3,Ġcontains,Ġcontrary,Ġequivalent,Ġsubclass,Ġattribute,Ġpart,Ġmaterial,Ġcontain,Ġcontaining,Ġcontained,Ġopposite,Ġhas,Ġattributes,Ġincludes
3,isa,Ġsubclass,3,isa,Ġsubclass,box,hit,True,['Ġbox'],['Ġhit'],1,1,0.022768816,0.034913696,0.0594784,0.69534606,0.0010377134,0.0043639517,0.18209139,1.3918405,13,24,Ġsubclass,Ġequivalent,Ġattribute,Ġcontains,Ġcontrary,Ġpart,Ġmaterial,Ġattributes,Ġcontain,Ġobject,Ġtype,Ġversion,Ġcomponent,Ġsimilar
0,antonym,Ġcontrary,0,antonym,Ġcontrary,slip,balance,True,['Ġslip'],['Ġbalance'],1,1,0.7985114,0.00016266141,0.0007841604,0.17602906,0.00029740873,0.0055585974,0.01865673,0.86278623,26,16,Ġcontrary,Ġsubclass,Ġequivalent,Ġpart,Ġopposite,Ġattribute,Ġmaterial,Ġfrom,Ġin,Ġcontains,Ġagainst,Ġform,Ġalternative,Ġof
