pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,antonym,hasa,hasproperty,isa,madeof,partof,synonym,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,hasa,contains,1,hasa,contains,lobby,wall,True,['lobby'],['wall'],1,1,0.004331033,0.96235,0.0058250083,0.008007967,0.011499097,0.0017640324,0.0062227617,0.32211572,4,9,contains,material,minor,synonym,attribute,contrary,part,contain,includes,lacks,containing,has,features,contained
3,isa,minor,3,isa,minor,call,order,True,['call'],['order'],1,1,0.31597173,0.0006039202,0.0016582509,0.41529104,0.0009449555,0.0038041235,0.261726,1.6196858,41,24,minor,contrary,synonym,part,attribute,material,contains,opposite,reverse,subordinate,lesser,or,not,major
6,synonym,synonym,3,isa,minor,keep,store,False,['keep'],['store'],1,1,0.06951,0.00040162943,0.00067088,0.2797825,0.00046534187,0.0045579528,0.6446118,1.2420776,25,6,synonym,minor,contrary,part,attribute,material,contains,or,lesser,also,synonymous,small,variant,alias
6,synonym,synonym,6,synonym,synonym,see,view,True,['see'],['view'],1,1,0.0215953,0.0004637868,0.00073851726,0.22290574,0.000824863,0.00416639,0.74930537,0.9683944,25,13,synonym,minor,contrary,part,material,attribute,contains,variant,or,also,synonymous,lesser,reverse,small
1,hasa,contains,0,antonym,contrary,brake,pedal,False,['brake'],['pedal'],1,1,0.14637123,0.2884639,0.0048714573,0.25134847,0.019384222,0.0070972024,0.2824634,2.1374362,7,5,contains,synonym,minor,contrary,material,part,attribute,contain,includes,containing,lacks,parts,small,contained
3,isa,minor,3,isa,minor,lake,place,True,['lake'],['place'],1,1,0.00012410889,6.8170404e-05,0.0031174724,0.994541,0.00053766114,4.5750076e-05,0.0015658856,0.0574536,3,32,minor,attribute,synonym,material,contrary,contains,part,small,major,a,important,key,lesser,rare
0,antonym,contrary,0,antonym,contrary,boy,female,True,['boy'],['female'],1,1,0.9988192,4.643797e-05,0.00028772722,0.0003282293,1.8752547e-05,4.332381e-05,0.00045637193,0.015541159,4,5,contrary,synonym,minor,attribute,opposite,contains,part,material,and,unknown,reverse,not,opposed,contrast
0,antonym,contrary,0,antonym,contrary,hill,crater,True,['hill'],['crater'],1,1,0.4377254,0.38528982,0.0068306597,0.069396,0.012617093,0.025946135,0.06219478,1.833628,6,3,contrary,contains,minor,synonym,part,material,attribute,opposite,containing,contain,includes,parts,not,lacks
3,isa,minor,3,isa,minor,box,hit,True,['box'],['hit'],1,1,0.005995431,0.008290796,0.19676146,0.71328473,0.0017631629,0.0003131349,0.07359124,1.2075684,13,24,minor,attribute,synonym,contains,contrary,material,part,attributes,small,lesser,major,lacks,contain,object
0,antonym,contrary,0,antonym,contrary,slip,balance,True,['slip'],['balance'],1,1,0.6423704,0.0025595725,0.011435676,0.095294625,0.0035376884,0.009419146,0.23538278,1.4125823,26,16,contrary,synonym,minor,attribute,part,material,contains,opposite,lack,false,lacks,not,reverse,void
5,partof,part,5,partof,part,rapid,river,True,['rapid'],['river'],1,1,0.005302226,0.0007556468,0.01180603,0.13610882,0.0039631743,0.8273628,0.0147014195,0.8624653,3,1,part,minor,synonym,attribute,contrary,material,contains,parts,section,portion,element,component,in,member
