pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,antonym,hasa,hasproperty,isa,madeof,partof,synonym,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,hasa,Ġcontains,1,hasa,Ġcontains,lobby,wall,True,['Ġlobby'],['Ġwall'],1,1,0.060865384,0.77293813,0.0064014564,0.03139443,0.09279013,0.011978649,0.023631904,1.2588164,4,9,Ġcontains,Ġmaterial,Ġcontrary,Ġsubclass,Ġequivalent,Ġpart,Ġattribute,Ġcontain,Ġincludes,Ġhas,Ġcontained,Ġcontaining,Ġlacks,Ġpossesses
3,isa,Ġsubclass,3,isa,Ġsubclass,call,order,True,['Ġcall'],['Ġorder'],1,1,0.053117853,0.016364766,0.003995821,0.48052943,0.0062535233,0.019518355,0.42022026,1.5441658,41,24,Ġsubclass,Ġequivalent,Ġcontrary,Ġpart,Ġcontains,Ġmaterial,Ġattribute,Ġcontain,Ġsimilar,Ġan,Ġanalogous,Ġclass,Ġequal,Ġsuperior
6,synonym,Ġequivalent,3,isa,Ġsubclass,keep,store,False,['Ġkeep'],['Ġstore'],1,1,0.1962973,0.004864752,0.002528493,0.2109046,0.003489247,0.016506882,0.56540877,1.5851653,25,6,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġcontains,Ġmaterial,Ġattribute,Ġsimilar,Ġopposite,Ġsuperior,Ġanalogous,Ġalternative,Ġcontain,Ġcomponent
6,synonym,Ġequivalent,6,synonym,Ġequivalent,see,view,True,['Ġsee'],['Ġview'],1,1,0.04710898,0.009697126,0.0038002713,0.2516389,0.0031610122,0.008127218,0.67646646,1.2681117,25,13,Ġequivalent,Ġsubclass,Ġcontrary,Ġcontains,Ġpart,Ġattribute,Ġmaterial,Ġsimilar,Ġanalogous,Ġcontain,Ġincludes,Ġalternative,Ġcomparable,Ġsuperior
6,synonym,Ġequivalent,0,antonym,Ġcontrary,brake,pedal,False,['Ġbrake'],['Ġpedal'],1,1,0.122180045,0.06144741,0.0027635316,0.13697812,0.024168415,0.07858142,0.5738811,1.9121463,7,5,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġcontains,Ġmaterial,Ġattribute,Ġcontain,Ġincludes,Ġopposite,Ġcomponent,Ġportion,Ġparts,Ġsubstitute
3,isa,Ġsubclass,3,isa,Ġsubclass,lake,place,True,['Ġlake'],['Ġplace'],1,1,0.0024358048,0.0030407284,0.0010524222,0.9843142,0.0057550925,0.0009147701,0.0024870487,0.15300663,3,32,Ġsubclass,Ġmaterial,Ġcontains,Ġequivalent,Ġcontrary,Ġattribute,Ġpart,Ġtype,Ġclass,Ġcontain,Ġsimilar,Ġcontained,Ġcomponent,Ġform
0,antonym,Ġcontrary,0,antonym,Ġcontrary,boy,female,True,['Ġboy'],['Ġfemale'],1,1,0.98513466,0.00046279564,0.0056240265,0.002646578,0.0006944769,0.00055838877,0.0048790583,0.14189425,4,5,Ġcontrary,Ġattribute,Ġequivalent,Ġsubclass,Ġmaterial,Ġpart,Ġcontains,Ġopposite,Ġsuperior,Ġattributes,ĠContrary,Ġcontradicts,Ġsubject,Ġinferior
1,hasa,Ġcontains,0,antonym,Ġcontrary,hill,crater,False,['Ġhill'],['Ġcrater'],1,1,0.048641715,0.79177356,0.015249453,0.060834512,0.019784722,0.016496753,0.047219366,1.2342365,6,3,Ġcontains,Ġsubclass,Ġcontrary,Ġequivalent,Ġmaterial,Ġpart,Ġattribute,Ġcontain,Ġcontaining,Ġcontained,Ġincludes,Ġhas,Ġpossesses,Ġattributes
3,isa,Ġsubclass,3,isa,Ġsubclass,box,hit,True,['Ġbox'],['Ġhit'],1,1,0.02167219,0.051914316,0.019049732,0.73885006,0.006081516,0.0059890132,0.15644312,1.2805032,13,24,Ġsubclass,Ġequivalent,Ġcontains,Ġcontrary,Ġattribute,Ġmaterial,Ġpart,Ġcontain,Ġattributes,Ġclass,Ġsimilar,Ġincludes,Ġcontained,Ġcomponent
3,isa,Ġsubclass,0,antonym,Ġcontrary,slip,balance,False,['Ġslip'],['Ġbalance'],1,1,0.30049205,0.0016268747,0.0016721215,0.4718593,0.01919077,0.16326472,0.041894156,1.79112,26,16,Ġsubclass,Ġcontrary,Ġpart,Ġequivalent,Ġmaterial,Ġin,Ġof,Ġattribute,Ġcontains,Ġfrom,Ġform,Ġthe,Ġopposite,Ġimplicit
