pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,random,2,random,random,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,1.387693e-05,0.008806715,0.9911794,0.073018104,5,5,random,minor,coordinated,major,all,'
1,hyper,minor,1,hyper,minor,phone,good,True,['phone'],['good'],1,1,0.000102662736,0.60463506,0.39526227,0.9695455,4,27,minor,random,coordinated,major,all,small
1,hyper,minor,1,hyper,minor,orbital,circular,True,['orbital'],['circular'],1,1,0.000358175,0.98503125,0.014610559,0.11461127,2,3,minor,random,coordinated,major,or,and
0,coord,coordinated,1,hyper,minor,trumpet,horn,False,['trumpet'],['horn'],1,1,0.9975604,0.0022302542,0.0002093571,0.025719317,4,12,coordinated,minor,random,coordination,or,and
0,coord,coordinated,0,coord,coordinated,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.9998834,7.819225e-05,3.8339294e-05,0.0017973188,2,3,coordinated,minor,random,coordination,and,mechanical
1,hyper,minor,1,hyper,minor,evidence,argue,True,['evidence'],['argue'],1,1,4.2674084e-05,0.5080967,0.49186063,1.0004482,6,3,minor,random,major,coordinated,small,final
2,random,random,2,random,random,coconut,accumulate,True,['coconut'],['accumulate'],1,1,1.1349872e-05,0.0011203123,0.99886835,0.012799321,3,2,random,minor,coordinated,all,the,'
2,random,random,2,random,random,coupling,fruit,True,['coupling'],['fruit'],1,1,4.1353537e-06,0.0008116282,0.9991842,0.0095832525,7,5,random,minor,the,coordinated,all,individual
0,coord,coordinated,0,coord,coordinated,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.9989262,0.0009341928,0.00013957615,0.012737514,2,4,coordinated,minor,random,and,coordination,or
1,hyper,minor,2,random,random,hospital,place,False,['hospital'],['place'],1,1,0.0003844294,0.977576,0.022039618,0.15764773,2,32,minor,random,coordinated,major,small,or
1,hyper,minor,1,hyper,minor,hate,dislike,True,['hate'],['dislike'],1,1,5.888371e-05,0.98110193,0.018839212,0.13578321,2,3,minor,random,major,coordinated,small,other
1,hyper,minor,1,hyper,minor,crystal,rock,True,['crystal'],['rock'],1,1,9.3615825e-05,0.95580846,0.044097953,0.2621573,6,9,minor,random,small,coordinated,major,a
1,hyper,minor,1,hyper,minor,normative,appropriate,True,"['norma', '##tive']",['appropriate'],2,1,6.0226652e-05,0.88465255,0.11528722,0.51658124,2,3,minor,random,or,and,major,","
1,hyper,minor,2,random,random,dress,uniform,False,['dress'],['uniform'],1,1,0.030035716,0.95100623,0.018958073,0.32927847,21,6,minor,coordinated,random,major,regular,individual
2,random,random,2,random,random,pine,hint,True,['pine'],['hint'],1,1,3.9366223e-06,0.0011931593,0.9988029,0.013383463,3,6,random,minor,coordinated,the,all,new
1,hyper,minor,1,hyper,minor,cut,free,True,['cut'],['free'],1,1,4.8019097e-05,0.7800099,0.21994205,0.76080257,70,22,minor,random,major,coordinated,/,all
0,coord,coordinated,0,coord,coordinated,fridge,washer,True,['fridge'],"['wash', '##er']",1,2,0.99993205,3.9084734e-05,2.8808752e-05,0.0011047862,1,3,coordinated,minor,random,and,coordination,coordinate
0,coord,coordinated,0,coord,coordinated,grasshopper,cricket,True,"['grass', '##hopper']",['cricket'],2,1,0.9999398,2.1176204e-05,3.9004386e-05,0.0009868282,2,3,coordinated,random,minor,coordination,and,organized
0,coord,coordinated,0,coord,coordinated,donkey,bull,True,['donkey'],['bull'],1,1,0.99973303,9.152393e-05,0.00017539885,0.0038014064,2,15,coordinated,random,minor,and,coordination,or
0,coord,coordinated,0,coord,coordinated,cow,beaver,True,['cow'],['beaver'],1,1,0.9999684,1.6271142e-05,1.5322541e-05,0.0005494735,4,8,coordinated,minor,random,and,or,","
0,coord,coordinated,0,coord,coordinated,grenade,rifle,True,['grenade'],['rifle'],1,1,0.9985964,0.0011500751,0.00025354553,0.016281707,1,3,coordinated,minor,random,or,coordination,and
1,hyper,minor,1,hyper,minor,dog,animal,True,['dog'],['animal'],1,1,5.839336e-05,0.9474826,0.052459035,0.29765323,8,2,minor,random,small,other,major,coordinated
0,coord,coordinated,0,coord,coordinated,box,case,True,['box'],['case'],1,1,0.934781,0.05785775,0.007361269,0.3809878,13,22,coordinated,minor,random,coordination,and,small
2,random,random,1,hyper,minor,foot,anatomy,False,['foot'],['anatomy'],1,1,9.001017e-06,0.17032002,0.829671,0.65859765,14,3,random,minor,major,individual,coordinated,small
2,random,random,2,random,random,scarf,septicaemia,True,['scarf'],"['sept', '##ica', '##emia']",1,3,8.439793e-05,0.0008773298,0.9990382,0.011437841,5,1,random,minor,coordinated,.,for,genetic
1,hyper,minor,1,hyper,minor,hospital,structure,True,['hospital'],['structure'],1,1,0.000376496,0.94653845,0.05308503,0.30415627,2,6,minor,random,coordinated,major,or,small
2,random,random,2,random,random,guitar,information,True,['guitar'],['information'],1,1,1.0681323e-06,0.0010573191,0.9989416,0.011999322,1,5,random,minor,all,new,major,coordinated
2,random,random,2,random,random,coyote,attempt,True,['coyote'],['attempt'],1,1,4.3572563e-06,0.00036545596,0.9996301,0.0047837677,3,4,random,minor,coordinated,the,all,major
2,random,random,2,random,random,desk,bracket,True,['desk'],['bracket'],1,1,0.00022712276,0.0082156975,0.99155724,0.07179134,1,7,random,minor,coordinated,major,the,individual
1,hyper,minor,1,hyper,minor,penguin,creature,True,['penguin'],['creature'],1,1,3.0190598e-05,0.820409,0.17956083,0.67960364,1,3,minor,random,major,small,other,or
0,coord,coordinated,0,coord,coordinated,spoon,hatchet,True,['spoon'],"['hatch', '##et']",1,2,0.99967694,0.00029140583,3.165273e-05,0.0043615894,5,2,coordinated,minor,coordination,and,random,or
2,random,random,2,random,random,civilization,human,True,['civilization'],['human'],1,1,3.4435605e-05,0.041869584,0.9580959,0.2513576,4,4,random,minor,individual,coordinated,unknown,all
2,random,random,2,random,random,clarinet,ideal,True,['clarinet'],['ideal'],1,1,6.572302e-06,0.00026762672,0.99972576,0.0036847068,1,5,random,minor,coordinated,the,all,'
1,hyper,minor,1,hyper,minor,educator,profession,True,['educator'],['profession'],1,1,1.0009849e-05,0.98730856,0.0126814395,0.098266944,1,4,minor,random,major,small,or,individual
1,hyper,minor,2,random,random,invade,turn,False,['invade'],['turn'],1,1,3.138316e-05,0.9270138,0.07295486,0.37736636,4,38,minor,random,major,coordinated,/,and
0,coord,coordinated,0,coord,coordinated,lion,panther,True,['lion'],['panther'],1,1,0.99993265,2.0102041e-05,4.7257618e-05,0.0010898542,4,3,coordinated,random,minor,and,coordination,","
0,coord,coordinated,2,random,random,cow,broccoli,False,['cow'],"['bro', '##cco', '##li']",1,3,0.9984829,4.510208e-05,0.0014720251,0.016686976,4,2,coordinated,random,minor,coordination,deer,and
0,coord,coordinated,0,coord,coordinated,radio,toaster,True,['radio'],"['toast', '##er']",1,2,0.9999126,4.0419192e-05,4.6930254e-05,0.0013906896,5,2,coordinated,random,minor,coordination,and,coordinating
2,random,random,2,random,random,noise,creature,True,['noise'],['creature'],1,1,4.1539765e-06,0.064647056,0.93534887,0.3457021,7,3,random,minor,unknown,small,individual,the
2,random,random,2,random,random,trout,invaluable,True,['trout'],"['in', '##val', '##ua', '##ble']",1,4,1.8468758e-05,0.0017116048,0.9982699,0.018514628,2,1,random,minor,coordinated,',unknown,all
2,random,random,2,random,random,gorilla,participate,True,['gorilla'],['participate'],1,1,6.611089e-06,0.010041651,0.9899518,0.081192255,1,2,random,minor,coordinated,all,individual,major
0,coord,coordinated,0,coord,coordinated,willow,cedar,True,['willow'],['cedar'],1,1,0.9998555,8.906928e-05,5.5440563e-05,0.002190687,2,3,coordinated,minor,random,and,coordination,or
2,random,random,2,random,random,dishwasher,valour,True,"['dish', '##wash', '##er']","['val', '##our']",3,2,0.00013032943,0.015497253,0.9843724,0.11721784,2,1,random,minor,coordinated,individual,major,small
