pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,random,2,random,random,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,4.0111787e-05,0.0055385004,0.9944214,0.05012975,5,5,random,minor,coordinated,randomly,major,van
1,hyper,minor,1,hyper,minor,phone,good,True,['phone'],['good'],1,1,0.0001647698,0.7501614,0.24967386,0.81300086,4,27,minor,random,coordinated,major,small,unknown
1,hyper,minor,1,hyper,minor,orbital,circular,True,['orbital'],['circular'],1,1,0.00038733426,0.988898,0.010714667,0.09043735,2,3,minor,random,coordinated,major,or,small
0,coord,coordinated,1,hyper,minor,trumpet,horn,False,['trumpet'],['horn'],1,1,0.55736387,0.44028628,0.002349833,1.0116241,4,12,coordinated,minor,random,major,or,small
0,coord,coordinated,0,coord,coordinated,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.99760544,0.0010485643,0.0013460031,0.026665475,2,3,coordinated,random,minor,small,synchronized,similar
2,random,random,1,hyper,minor,evidence,argue,False,['evidence'],['argue'],1,1,7.309785e-05,0.32254824,0.67737865,0.9081998,6,3,random,minor,coordinated,small,major,randomly
2,random,random,2,random,random,coconut,accumulate,True,['coconut'],['accumulate'],1,1,3.140218e-06,0.0014419609,0.9985549,0.015749628,3,2,random,minor,randomly,coordinated,.,major
2,random,random,2,random,random,coupling,fruit,True,['coupling'],['fruit'],1,1,4.0458995e-06,0.00088525703,0.99911064,0.01033284,7,5,random,minor,randomly,coordinated,small,.
0,coord,coordinated,0,coord,coordinated,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.874405,0.123129025,0.0024659655,0.5627382,2,4,coordinated,minor,random,or,combined,joint
1,hyper,minor,2,random,random,hospital,place,False,['hospital'],['place'],1,1,0.00036932522,0.89108074,0.10854995,0.50020945,2,32,minor,random,coordinated,major,other,small
1,hyper,minor,1,hyper,minor,hate,dislike,True,['hate'],['dislike'],1,1,0.00034239268,0.9888861,0.010771564,0.09029603,2,3,minor,random,coordinated,or,major,lesser
1,hyper,minor,1,hyper,minor,crystal,rock,True,['crystal'],['rock'],1,1,0.00015188786,0.96240336,0.03744473,0.23258856,6,9,minor,random,coordinated,major,small,or
1,hyper,minor,1,hyper,minor,normative,appropriate,True,"['norma', '##tive']",['appropriate'],2,1,8.629931e-05,0.9751726,0.024741149,0.16857722,2,3,minor,random,coordinated,or,major,","
1,hyper,minor,2,random,random,dress,uniform,False,['dress'],['uniform'],1,1,0.0012692264,0.9904907,0.008240073,0.082912974,21,6,minor,random,coordinated,major,lesser,other
2,random,random,2,random,random,pine,hint,True,['pine'],['hint'],1,1,8.300598e-07,0.0006741961,0.99932504,0.008092724,3,6,random,minor,randomly,coordinated,.,small
2,random,random,1,hyper,minor,cut,free,False,['cut'],['free'],1,1,4.439095e-05,0.18615672,0.8137989,0.6940547,70,22,random,minor,randomly,coordinated,free,small
0,coord,coordinated,0,coord,coordinated,fridge,washer,True,['fridge'],"['wash', '##er']",1,2,0.9970855,0.002392795,0.00052163884,0.03072107,1,3,coordinated,minor,random,small,similar,and
0,coord,coordinated,0,coord,coordinated,grasshopper,cricket,True,"['grass', '##hopper']",['cricket'],2,1,0.9997359,0.0002411378,2.2976166e-05,0.0036329876,2,3,coordinated,minor,random,or,and,common
0,coord,coordinated,0,coord,coordinated,donkey,bull,True,['donkey'],['bull'],1,1,0.9988919,0.0009958808,0.00011228015,0.013001797,2,15,coordinated,minor,random,mixed,combined,joint
0,coord,coordinated,0,coord,coordinated,cow,beaver,True,['cow'],['beaver'],1,1,0.99963844,0.00034058353,2.1014614e-05,0.004771652,4,8,coordinated,minor,random,mixed,related,northern
0,coord,coordinated,0,coord,coordinated,grenade,rifle,True,['grenade'],['rifle'],1,1,0.73782563,0.25606647,0.006107882,0.8718456,1,3,coordinated,minor,random,or,small,/
1,hyper,minor,1,hyper,minor,dog,animal,True,['dog'],['animal'],1,1,0.0005306712,0.9379607,0.06150871,0.33989555,8,2,minor,random,coordinated,major,small,other
1,hyper,minor,0,coord,coordinated,box,case,False,['box'],['case'],1,1,0.0051234793,0.96275824,0.032118212,0.25101936,13,22,minor,random,coordinated,small,major,or
1,hyper,minor,1,hyper,minor,foot,anatomy,True,['foot'],['anatomy'],1,1,0.00013514145,0.91022974,0.08963516,0.43716446,14,3,minor,random,coordinated,major,small,other
2,random,random,2,random,random,scarf,septicaemia,True,['scarf'],"['sept', '##ica', '##emia']",1,3,4.3158584e-06,0.0005659353,0.99942976,0.0070041474,5,1,random,minor,randomly,coordinated,.,small
1,hyper,minor,1,hyper,minor,hospital,structure,True,['hospital'],['structure'],1,1,0.0006490331,0.8974438,0.10190723,0.4827206,2,6,minor,random,coordinated,major,other,small
2,random,random,2,random,random,guitar,information,True,['guitar'],['information'],1,1,2.5042e-06,0.0005297121,0.9994678,0.0065788026,1,5,random,minor,randomly,coordinated,.,number
2,random,random,2,random,random,coyote,attempt,True,['coyote'],['attempt'],1,1,1.6296186e-06,0.0001269485,0.9998714,0.001859958,3,4,random,minor,randomly,coordinated,.,surprise
2,random,random,2,random,random,desk,bracket,True,['desk'],['bracket'],1,1,0.0002558877,0.015378166,0.98436594,0.118053526,1,7,random,minor,coordinated,randomly,small,accidental
1,hyper,minor,1,hyper,minor,penguin,creature,True,['penguin'],['creature'],1,1,0.00034238287,0.94746876,0.052188862,0.30003223,1,3,minor,random,coordinated,major,small,other
0,coord,coordinated,0,coord,coordinated,spoon,hatchet,True,['spoon'],"['hatch', '##et']",1,2,0.9970675,0.0012506522,0.0016818872,0.03178442,5,2,coordinated,random,minor,similar,or,joint
1,hyper,minor,2,random,random,civilization,human,False,['civilization'],['human'],1,1,7.154032e-05,0.92595255,0.07397592,0.38166922,4,4,minor,random,coordinated,major,or,small
2,random,random,2,random,random,clarinet,ideal,True,['clarinet'],['ideal'],1,1,1.6503692e-06,0.00019779593,0.9998005,0.0027530217,1,5,random,minor,randomly,coordinated,.,accidental
1,hyper,minor,1,hyper,minor,educator,profession,True,['educator'],['profession'],1,1,0.00027954418,0.94168866,0.058031827,0.32326096,1,4,minor,random,coordinated,major,small,other
2,random,random,2,random,random,invade,turn,True,['invade'],['turn'],1,1,0.00032473556,0.34327707,0.6563982,0.93195474,4,38,random,minor,coordinated,major,randomly,small
0,coord,coordinated,0,coord,coordinated,lion,panther,True,['lion'],['panther'],1,1,0.99846494,0.0014523844,8.2733495e-05,0.017027035,4,3,coordinated,minor,random,mixed,joint,coordinating
2,random,random,2,random,random,cow,broccoli,True,['cow'],"['bro', '##cco', '##li']",1,3,0.03588652,0.002819992,0.9612936,0.25090253,4,2,random,coordinated,minor,randomly,mixed,red
0,coord,coordinated,0,coord,coordinated,radio,toaster,True,['radio'],"['toast', '##er']",1,2,0.9956767,0.0029278644,0.0013954738,0.044100534,5,2,coordinated,minor,random,and,or,combined
2,random,random,2,random,random,noise,creature,True,['noise'],['creature'],1,1,1.2871058e-05,0.008281758,0.9917054,0.06940126,7,3,random,minor,coordinated,randomly,small,major
2,random,random,2,random,random,trout,invaluable,True,['trout'],"['in', '##val', '##ua', '##ble']",1,4,3.140842e-05,0.0019775692,0.9979911,0.021127967,2,1,random,minor,coordinated,randomly,.,regular
2,random,random,2,random,random,gorilla,participate,True,['gorilla'],['participate'],1,1,1.813176e-05,0.001139806,0.9988422,0.0130990585,1,2,random,minor,coordinated,randomly,.,major
0,coord,coordinated,0,coord,coordinated,willow,cedar,True,['willow'],['cedar'],1,1,0.99819547,0.0015265923,0.00027798422,0.020166771,2,3,coordinated,minor,random,mixed,related,common
2,random,random,2,random,random,dishwasher,valour,True,"['dish', '##wash', '##er']","['val', '##our']",3,2,1.5222644e-05,0.00031072987,0.9996741,0.004334379,2,1,random,minor,coordinated,randomly,.,accidental
2,random,random,2,random,random,cockroach,side,True,"['cock', '##ro', '##ach']",['side'],3,1,1.8614988e-05,0.00080601795,0.99917537,0.009765066,1,14,random,minor,coordinated,randomly,regular,major
1,hyper,minor,1,hyper,minor,emperor,ruler,True,['emperor'],['ruler'],1,1,0.00012419783,0.99511033,0.0047654747,0.045405388,4,2,minor,random,major,coordinated,lesser,small
1,hyper,minor,1,hyper,minor,roll,move,True,['roll'],['move'],1,1,0.00019109642,0.85674644,0.14306246,0.5947971,33,21,minor,random,coordinated,major,small,other
2,random,random,2,random,random,wing,shine,True,['wing'],['shine'],1,1,3.766038e-05,0.0136606,0.9863018,0.10479136,12,11,random,minor,coordinated,randomly,small,major
2,random,random,2,random,random,contrast,rock,True,['contrast'],['rock'],1,1,8.636664e-06,0.010395688,0.9895957,0.08356259,7,9,random,minor,randomly,coordinated,major,small
2,random,random,2,random,random,whisk,game,True,"['w', '##his', '##k']",['game'],3,1,0.0001060172,0.24937722,0.7505167,0.8117985,6,14,random,minor,coordinated,major,randomly,small
1,hyper,minor,2,random,random,falcon,creature,False,['falcon'],['creature'],1,1,0.00048771146,0.92369694,0.07581537,0.39327353,2,3,minor,random,coordinated,major,small,other
2,random,random,2,random,random,black,utensil,True,['black'],"['ut', '##ens', '##il']",1,3,1.8651e-05,0.005228514,0.9947529,0.047472022,22,1,random,minor,coordinated,randomly,small,black
