pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
1,hyper,minor,1,hyper,minor,coach,teach,True,['coach'],['teach'],1,1,0.02414616,0.9091022,6.2790496e-05,0.00039765285,0.06629118,0.5196042,7,3,minor,synonym,contrary,random,part,auxiliary,method,major,capable,opposite
1,hyper,minor,1,hyper,minor,coach,teacher,True,['coach'],['teacher'],1,1,0.0446059,0.9338971,3.7680472e-06,1.1137513e-07,0.021493165,0.41141444,7,2,minor,contrary,synonym,major,equivalent,part,superior,auxiliary,lesser,opposite
3,random,random,3,random,random,coach,coat,True,['coach'],['coat'],1,1,1.0048902e-09,4.0426495e-11,4.6659922e-11,1.0,2.473987e-10,4.0928665e-08,7,6,random,randomly,contrary,coach,strange,stranger,wild,synonym,anonymous,mysterious
3,random,random,3,random,random,coach,dog,True,['coach'],['dog'],1,1,1.3705363e-06,1.1849844e-08,5.696689e-09,0.9999987,7.1011846e-10,2.907512e-05,7,8,random,contrary,randomly,minor,coach,part,suspicious,stranger,dog,wild
3,random,random,3,random,random,coach,performance,True,['coach'],['performance'],1,1,1.7948656e-08,4.313229e-08,2.1688804e-09,1.0,1.7899051e-08,2.0402126e-06,7,5,random,minor,coach,contrary,synonym,variable,subjective,randomly,statistical,driver
3,random,random,3,random,random,coach,pit,True,['coach'],['pit'],1,1,3.7335344e-09,2.1007751e-10,3.8400902e-10,1.0,2.2533342e-10,1.305131e-07,7,14,random,coach,randomly,contrary,pit,chance,unfortunate,statistical,player,wild
3,random,random,3,random,random,coach,rain,True,['coach'],['rain'],1,1,4.0627957e-10,5.307305e-12,3.511511e-11,1.0,7.5944355e-12,1.4373453e-08,7,4,random,rain,randomly,contrary,wild,dark,coach,strange,road,crazy
3,random,random,3,random,random,coach,rear,True,['coach'],['rear'],1,1,1.7674711e-07,1.039161e-08,8.8785657e-10,0.9999999,2.3519645e-08,5.0350473e-06,7,11,random,contrary,coach,synonym,randomly,minor,strange,generic,wild,anonymous
1,hyper,minor,3,random,random,coach,ride,False,['coach'],['ride'],1,1,1.1769736e-06,0.9956938,6.149854e-07,0.0042342455,7.018486e-05,0.040584885,7,16,minor,random,synonym,kind,small,type,medium,mode,lot,major
3,random,random,3,random,random,coach,side,True,['coach'],['side'],1,1,5.0517446e-07,9.350434e-09,1.1259669e-08,0.9999995,1.4034469e-08,1.2167332e-05,7,14,random,contrary,coach,randomly,strange,synonym,side,part,minor,player
1,hyper,minor,1,hyper,minor,dance,move,True,['dance'],['move'],1,1,2.9170128e-12,1.0,9.966502e-13,8.1673934e-10,3.0502574e-09,1.11095346e-07,7,21,minor,major,synonym,mild,small,lesser,random,kind,type,little
3,random,random,3,random,random,dance,bring,True,['dance'],['bring'],1,1,1.8200376e-09,9.717592e-10,2.8397569e-11,1.0,3.374317e-10,9.354715e-08,7,11,random,randomly,dance,contrary,rhythm,minor,bring,wild,strange,synonym
