pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
3,random,Ġrandom,1,hyper,Ġsubclass,coach,teach,False,['Ġcoach'],['Ġteach'],1,1,1.1516778e-07,5.120531e-08,2.6365848e-10,0.9999995,3.222773e-07,1.154103e-05,7,3,Ġrandom,Ġrandomly,Ġequivalent,ĠRandom,Ġcontrary,Ġsubclass,random,Ġrandomized,Ġarbitrary,Ġfree
3,random,Ġrandom,1,hyper,Ġsubclass,coach,teacher,False,['Ġcoach'],['Ġteacher'],1,1,0.008427126,4.160313e-06,1.9417845e-08,0.9894729,0.002095774,0.09189999,7,2,Ġrandom,Ġcontrary,Ġequivalent,Ġsubclass,Ġopposite,Ġunrelated,Ġrandomly,Ġsubstitute,Ġteacher,Ġequal
3,random,Ġrandom,3,random,Ġrandom,coach,coat,True,['Ġcoach'],['Ġcoat'],1,1,4.8512323e-12,1.997987e-12,3.4450292e-12,1.0,2.5276875e-12,4.885454e-10,7,6,Ġrandom,Ġrandomly,ĠRandom,random,Ġrandomized,Random,Ġarbitrary,Ġwild,Ġstranger,Ġluck
3,random,Ġrandom,3,random,Ġrandom,coach,dog,True,['Ġcoach'],['Ġdog'],1,1,8.3701085e-10,2.839107e-11,3.516397e-11,1.0,4.062476e-11,2.885742e-08,7,8,Ġrandom,Ġrandomly,ĠRandom,Ġrandomized,random,Ġarbitrary,Ġcontrary,Ġstranger,Ġunpredictable,Ġwild
3,random,Ġrandom,3,random,Ġrandom,coach,performance,True,['Ġcoach'],['Ġperformance'],1,1,1.7627888e-10,8.0626346e-11,3.05199e-10,1.0,5.1162713e-10,3.3853237e-08,7,5,Ġrandom,Ġrandomly,ĠRandom,random,Ġarbitrary,Ġrandomized,Ġunpredictable,Ġanonymous,Ġequivalent,Ġstranger
3,random,Ġrandom,3,random,Ġrandom,coach,pit,True,['Ġcoach'],['Ġpit'],1,1,1.3061312e-10,1.3360994e-12,3.6488108e-11,1.0,1.1024892e-11,6.007743e-09,7,14,Ġrandom,Ġrandomly,ĠRandom,random,Ġrandomized,Ġarbitrary,Ġluck,Random,Ġlucky,Ġunknown
3,random,Ġrandom,3,random,Ġrandom,coach,rain,True,['Ġcoach'],['Ġrain'],1,1,3.0261245e-11,9.389846e-13,7.340156e-12,1.0,6.747845e-12,1.6168538e-09,7,4,Ġrandom,Ġrandomly,ĠRandom,random,Ġrandomized,Ġarbitrary,Random,Ġunknown,Ġwild,Ġanonymous
3,random,Ġrandom,3,random,Ġrandom,coach,rear,True,['Ġcoach'],['Ġrear'],1,1,1.01131345e-05,1.5856857e-07,5.9001286e-07,0.99974734,0.00024179318,0.0034529618,7,11,Ġrandom,Ġequivalent,Ġcontrary,Ġrandomly,Ġrear,Ġpart,Ġunexpected,ĠRandom,Ġhidden,Ġunknown
1,hyper,Ġsubclass,3,random,Ġrandom,coach,ride,False,['Ġcoach'],['Ġride'],1,1,1.0234161e-06,0.7881387,1.2155454e-06,0.21124929,0.00060976,0.7510932,7,16,Ġsubclass,Ġrandom,Ġequivalent,Ġclass,Ġtype,Ġkind,Ġcategory,Ġgroup,Ġrandomly,Ġsimulation
3,random,Ġrandom,3,random,Ġrandom,coach,side,True,['Ġcoach'],['Ġside'],1,1,1.4680768e-06,3.1694086e-07,0.029826546,0.9701685,3.1152301e-06,0.19362035,7,14,Ġrandom,Ġpart,Ġcoach,Ġside,Ġrandomly,Ġhalf,Ġmember,Ġleader,Ġcaptain,Ġequivalent
