pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
1,hyper,minor,1,hyper,minor,coach,teach,True,['coach'],['teach'],1,1,0.010012245,0.68085176,0.00035865107,1.5921282e-06,0.3087757,0.97171813,7,3,minor,synonym,contrary,part,adjunct,secondary,subordinate,equivalent,additional,also
0,ant,contrary,1,hyper,minor,coach,teacher,False,['coach'],['teacher'],1,1,0.9993505,3.710842e-06,1.5460699e-06,1.9646993e-08,0.00064428616,0.0078636445,7,2,contrary,synonym,minor,part,similar,alternative,opposite,reverse,equivalent,subordinate
3,random,random,3,random,random,coach,coat,True,['coach'],['coat'],1,1,5.892267e-09,1.2998169e-09,1.6595733e-09,1.0,9.723766e-10,2.7697007e-07,7,6,random,randomly,contrary,anonymous,coach,part,strange,mystery,minor,novel
3,random,random,3,random,random,coach,dog,True,['coach'],['dog'],1,1,2.2751949e-05,7.5810025e-09,1.6112111e-07,0.9999771,1.8194555e-08,0.00038824647,7,8,random,contrary,randomly,coach,part,chicken,guide,the,driver,crazy
3,random,random,3,random,random,coach,performance,True,['coach'],['performance'],1,1,6.162491e-08,3.898796e-08,2.3914462e-08,0.9999999,1.9522586e-08,3.7130383e-06,7,5,random,subjective,contrary,minor,part,synonym,randomly,rank,individual,specific
3,random,random,3,random,random,coach,pit,True,['coach'],['pit'],1,1,5.1030028e-08,1.9118702e-09,4.3685753e-09,1.0,4.8386883e-10,1.427817e-06,7,14,random,randomly,contrary,statistical,part,the,anonymous,ramsey,wild,team
3,random,random,3,random,random,coach,rain,True,['coach'],['rain'],1,1,1.8009354e-08,8.6722296e-11,7.7549617e-10,1.0,2.3397818e-11,4.9051556e-07,7,4,random,contrary,randomly,part,rain,strange,statistical,road,anonymous,wild
3,random,random,3,random,random,coach,rear,True,['coach'],['rear'],1,1,1.593913e-08,7.108485e-10,3.0247023e-09,1.0,1.3616231e-08,8.7586557e-07,7,11,random,rear,contrary,synonym,randomly,coach,anonymous,coaching,part,generic
1,hyper,minor,3,random,random,coach,ride,False,['coach'],['ride'],1,1,1.1422902e-09,0.99999833,3.2514407e-08,1.5691497e-06,1.06368724e-07,3.5970126e-05,7,16,minor,random,small,short,synonym,lesser,a,major,little,other
3,random,random,3,random,random,coach,side,True,['coach'],['side'],1,1,1.1175013e-08,1.1544902e-09,1.3036381e-09,1.0,3.3879775e-09,4.6327045e-07,7,14,random,randomly,contrary,synonym,side,wild,part,minor,player,strange
