pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
3,random,random,1,hyper,minor,coach,teach,False,['coach'],['teach'],1,1,6.3957186e-06,1.1872608e-06,3.5477015e-08,0.9999924,5.62006e-09,0.00014576352,7,3,random,contrary,minor,unknown,teaching,teach,mean,oblivious,taught,randomly
0,ant,contrary,1,hyper,minor,coach,teacher,False,['coach'],['teacher'],1,1,0.5481059,5.9848753e-05,1.7471206e-06,3.6353056e-06,0.45182893,0.9942704,7,2,contrary,synonym,minor,opposite,instead,not,son,random,daughter,wrong
3,random,random,3,random,random,coach,coat,True,['coach'],['coat'],1,1,5.840183e-09,4.3248094e-09,6.366768e-10,1.0,2.1653062e-08,8.506555e-07,7,6,random,bold,randomly,wrong,synonym,white,wild,careless,coach,thief
3,random,random,3,random,random,coach,dog,True,['coach'],['dog'],1,1,0.0071919137,2.4551111e-05,1.6486758e-06,0.99228257,0.00049928395,0.06817671,7,8,random,contrary,synonym,bad,wild,coward,kind,foul,ill,crazy
3,random,random,3,random,random,coach,performance,True,['coach'],['performance'],1,1,2.4285524e-10,6.883914e-08,2.6998728e-10,0.9999999,7.251756e-10,1.7621813e-06,7,5,random,minor,average,selected,representative,player,rating,individual,chosen,performance
3,random,random,3,random,random,coach,pit,True,['coach'],['pit'],1,1,4.6181917e-10,2.240721e-10,5.1690424e-10,1.0,6.565035e-11,3.967151e-08,7,14,random,randomly,bus,wrong,wild,out,part,contrary,pick,eliminated
3,random,random,3,random,random,coach,rain,True,['coach'],['rain'],1,1,7.415431e-11,2.158815e-12,3.4046336e-12,1.0,3.9133163e-12,2.856999e-09,7,4,random,randomly,contrary,wrong,mean,indifferent,wild,white,out,player
3,random,random,3,random,random,coach,rear,True,['coach'],['rear'],1,1,0.00031050923,0.0007997039,0.0004718784,0.99647516,0.0019428459,0.03963673,7,11,random,synonym,minor,part,contrary,rear,black,direction,except,\
1,hyper,minor,3,random,random,coach,ride,False,['coach'],['ride'],1,1,1.8635636e-07,0.9998745,1.0100524e-08,0.00011087281,1.4410849e-05,0.0018739334,7,16,minor,random,synonym,small,short,young,slow,multiple,medium,common
3,random,random,3,random,random,coach,side,True,['coach'],['side'],1,1,5.4768123e-05,2.1809157e-07,1.1819195e-05,0.99993277,4.87937e-07,0.0010808281,7,14,random,contrary,part,side,synonym,representative,minor,player,author,bus
