pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ANT,HYPER,PART_OF,RANDOM,SYN,entropy,nsynsests_source,nsynsests_target
4,SYN,1,HYPER,coach,teach,False,['Ġcoach'],['Ġteach'],1,1,0.004478444,0.2694041,0.007523006,0.0028912567,0.7157032,0.9675295,7,3
4,SYN,1,HYPER,coach,teacher,False,['Ġcoach'],['Ġteacher'],1,1,0.16175571,0.033255845,0.013738255,0.002867877,0.78838235,0.968049,7,2
3,RANDOM,3,RANDOM,coach,coat,True,['Ġcoach'],['Ġcoat'],1,1,0.0009589437,0.0006505974,0.00019165342,0.99710995,0.0010889306,0.03375039,7,6
3,RANDOM,3,RANDOM,coach,dog,True,['Ġcoach'],['Ġdog'],1,1,0.0009191448,0.00074373477,0.00025116195,0.997026,0.0010599727,0.034763593,7,8
3,RANDOM,3,RANDOM,coach,performance,True,['Ġcoach'],['Ġperformance'],1,1,0.0024210766,0.0021217847,0.0009091704,0.99222964,0.0023183106,0.08052559,7,5
3,RANDOM,3,RANDOM,coach,pit,True,['Ġcoach'],['Ġpit'],1,1,0.001037712,0.0006285257,0.00018556986,0.9971118,0.0010363305,0.033706486,7,14
3,RANDOM,3,RANDOM,coach,rain,True,['Ġcoach'],['Ġrain'],1,1,0.001080768,0.0006216147,0.0001914947,0.997056,0.0010501338,0.0342682,7,4
3,RANDOM,3,RANDOM,coach,rear,True,['Ġcoach'],['Ġrear'],1,1,0.002479206,0.002021526,0.002260515,0.99021775,0.0030209322,0.098752156,7,11
3,RANDOM,3,RANDOM,coach,ride,True,['Ġcoach'],['Ġride'],1,1,0.001114121,0.0007062943,0.00027160253,0.9967127,0.0011952643,0.037878823,7,16
3,RANDOM,3,RANDOM,coach,side,True,['Ġcoach'],['Ġside'],1,1,0.001762492,0.00088511873,0.0006775537,0.9953485,0.0013263638,0.051606007,7,14
1,HYPER,1,HYPER,dance,move,True,['Ġdance'],['Ġmove'],1,1,0.0011580792,0.96728814,0.0018798414,0.002455471,0.027218383,0.23753524,7,21
3,RANDOM,3,RANDOM,dance,bring,True,['Ġdance'],['Ġbring'],1,1,0.0009731045,0.0007751347,0.00020058273,0.9965417,0.0015094881,0.039336734,7,11
2,PART_OF,3,RANDOM,dance,human,False,['Ġdance'],['Ġhuman'],1,1,0.018983504,0.10314346,0.821545,0.049857493,0.0064706616,0.94231874,7,4
3,RANDOM,3,RANDOM,dance,idea,True,['Ġdance'],['Ġidea'],1,1,0.00096531713,0.0008299929,0.00019878049,0.9968838,0.0011221019,0.036093097,7,5
3,RANDOM,3,RANDOM,dance,idle,True,['Ġdance'],['Ġidle'],1,1,0.0040920814,0.0011854378,0.00044274886,0.9910534,0.0032263251,0.08846795,7,10
3,RANDOM,3,RANDOM,dance,lens,True,['Ġdance'],['Ġlens'],1,1,0.00091857475,0.0006954537,0.00021167351,0.9970983,0.0010760078,0.033935364,7,5
3,RANDOM,3,RANDOM,dance,mark,True,['Ġdance'],['Ġmark'],1,1,0.0010283658,0.00077242526,0.00018946225,0.9966979,0.0013118117,0.03785103,7,30
3,RANDOM,3,RANDOM,dance,transport,True,['Ġdance'],['Ġtransport'],1,1,0.001100357,0.0009374739,0.00022947247,0.99624276,0.0014899569,0.04242009,7,11
3,RANDOM,3,RANDOM,dance,unknown,True,['Ġdance'],['Ġunknown'],1,1,0.0010453706,0.00064245175,0.00018585604,0.9970697,0.0010565886,0.0341342,7,8
0,ANT,0,ANT,copy,original,True,['Ġcopy'],['Ġoriginal'],1,1,0.9788325,0.002606394,0.0024194508,0.0014681632,0.014673465,0.17680195,8,6
3,RANDOM,3,RANDOM,copy,busy,True,['Ġcopy'],['Ġbusy'],1,1,0.0009816216,0.00066603377,0.00017917715,0.997139,0.0010340959,0.033444125,8,6
3,RANDOM,3,RANDOM,copy,cattle,True,['Ġcopy'],['Ġcattle'],1,1,0.0010788772,0.00067022303,0.00018862604,0.9969933,0.0010689562,0.03491498,8,1
3,RANDOM,3,RANDOM,copy,generous,True,['Ġcopy'],['Ġgenerous'],1,1,0.0010439921,0.0006599551,0.00018779808,0.997063,0.0010451925,0.03421701,8,3
3,RANDOM,3,RANDOM,copy,hand,True,['Ġcopy'],['Ġhand'],1,1,0.005129389,0.0041283537,0.0031616879,0.9849465,0.0026340918,0.14209832,8,16
3,RANDOM,3,RANDOM,copy,join,True,['Ġcopy'],['Ġjoin'],1,1,0.002579363,0.0011484007,0.00032680697,0.9936027,0.0023427329,0.06684862,8,7
3,RANDOM,3,RANDOM,copy,joint,True,['Ġcopy'],['Ġjoint'],1,1,0.0011616341,0.0007497466,0.00026770224,0.9965777,0.0012432451,0.039213996,8,13
3,RANDOM,3,RANDOM,copy,nose,True,['Ġcopy'],['Ġnose'],1,1,0.00096928305,0.00061861426,0.000222974,0.9971597,0.0010294641,0.03330988,8,14
3,RANDOM,3,RANDOM,copy,rent,True,['Ġcopy'],['Ġrent'],1,1,0.0011600178,0.000628557,0.00018570747,0.9969503,0.0010753972,0.035296414,8,9
3,RANDOM,3,RANDOM,copy,south,True,['Ġcopy'],['Ġsouth'],1,1,0.0011861252,0.0005570689,0.00018460152,0.99699855,0.0010737205,0.034754205,8,7
1,HYPER,1,HYPER,dollar,coin,True,['Ġdollar'],['Ġcoin'],1,1,0.00080303254,0.9770781,0.0040404066,0.0028848606,0.01519359,0.18918647,4,3
1,HYPER,1,HYPER,dollar,money,True,['Ġdollar'],['Ġmoney'],1,1,0.0009883371,0.98960996,0.0031350257,0.0015511232,0.00471549,0.10177167,4,3
