pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
3,random,Ġrandom,1,hyper,Ġsubclass,coach,teach,False,['Ġcoach'],['Ġteach'],1,1,0.0010787881,4.8522597e-06,4.9290406e-07,0.79177743,0.20713848,0.7479062,7,3,Ġrandom,Ġequivalent,Ġcontrary,Ġqualified,Ġfirst,Ġsuperior,Ġorder,Ġteacher,Ġsubject,Ġcoach
0,ant,Ġcontrary,1,hyper,Ġsubclass,coach,teacher,False,['Ġcoach'],['Ġteacher'],1,1,0.9995926,1.6979268e-08,7.178831e-08,3.7962e-07,0.00040692248,0.0051810206,7,2,Ġcontrary,Ġequivalent,Ġopposite,Ġsuperior,Ġsubstitute,Ġalternative,Ġcounter,Ġrandom,Ġequal,Ġsubordinate
3,random,Ġrandom,3,random,Ġrandom,coach,coat,True,['Ġcoach'],['Ġcoat'],1,1,3.0572447e-09,2.920145e-08,2.45782e-10,0.9999993,7.3448894e-07,1.6823611e-05,7,6,Ġrandom,Ġrandomly,Ġequivalent,ĠRandom,Ġcoach,Ġrandomized,Ġsubclass,Ġsport,random,Ġstranger
3,random,Ġrandom,3,random,Ġrandom,coach,dog,True,['Ġcoach'],['Ġdog'],1,1,6.6159873e-09,0.0012292635,4.8457727e-09,0.9987702,4.4685268e-07,0.0136672435,7,8,Ġrandom,Ġsubclass,Ġtype,Ġrandomly,Ġsort,ĠRandom,Ġequivalent,Ġkind,Ġcoach,Ġclass
3,random,Ġrandom,3,random,Ġrandom,coach,performance,True,['Ġcoach'],['Ġperformance'],1,1,3.5898856e-06,9.82044e-10,3.446395e-08,0.9999938,2.6084192e-06,0.00012331331,7,5,Ġrandom,Ġcontrary,Ġcorrelated,Ġequivalent,Ġbiased,Ġsuperior,Ġconsistent,Ġpredictor,Ġinconsistent,Ġsubject
3,random,Ġrandom,3,random,Ġrandom,coach,pit,True,['Ġcoach'],['Ġpit'],1,1,9.579406e-10,5.156991e-13,3.003301e-12,1.0,6.268942e-11,3.096001e-08,7,14,Ġrandom,Ġrandomly,ĠRandom,random,Ġrandomized,Random,Ġcontrary,Ġunlucky,Ġlucky,Ġpick
3,random,Ġrandom,3,random,Ġrandom,coach,rain,True,['Ġcoach'],['Ġrain'],1,1,2.770063e-10,6.1034034e-13,1.8702195e-13,1.0,2.854867e-10,1.7879046e-08,7,4,Ġrandom,Ġrandomly,ĠRandom,random,Ġrandomized,Ġrain,Ġlucky,Ġequivalent,Ġcontrary,Ġstranger
3,random,Ġrandom,3,random,Ġrandom,coach,rear,True,['Ġcoach'],['Ġrear'],1,1,4.0580814e-09,4.0411635e-10,4.9472378e-11,1.0,2.6830174e-08,8.0225016e-07,7,11,Ġrandom,ĠRandom,Ġrandomly,random,Ġequivalent,Ġrandomized,Ġcoach,Ġcontrary,Ġodd,Random
3,random,Ġrandom,3,random,Ġrandom,coach,ride,True,['Ġcoach'],['Ġride'],1,1,7.82339e-10,9.00271e-06,8.849347e-11,0.99999034,5.3850897e-07,0.00017589568,7,16,Ġrandom,Ġsubclass,ĠRandom,Ġrandomly,Ġcoach,Ġequivalent,Ġrandomized,random,Ġorder,Ġsort
3,random,Ġrandom,3,random,Ġrandom,coach,side,True,['Ġcoach'],['Ġside'],1,1,2.0030204e-07,3.8079654e-11,4.082527e-09,0.99999964,6.425061e-08,6.4510978e-06,7,14,Ġrandom,Ġrandomly,Ġcontrary,ĠRandom,Ġequivalent,Ġrandomized,Ġside,Ġodd,Ġselector,Ġassigned
1,hyper,Ġsubclass,1,hyper,Ġsubclass,dance,move,True,['Ġdance'],['Ġmove'],1,1,1.8288699e-16,1.0,3.1322642e-11,9.279827e-14,1.3757998e-10,5.6039835e-09,7,21,Ġsubclass,Ġclass,Ġgroup,Ġcategory,Ġseries,Ġequivalent,Ġtype,Ġsequence,Ġsubset,Ġpart
3,random,Ġrandom,3,random,Ġrandom,dance,bring,True,['Ġdance'],['Ġbring'],1,1,6.95386e-11,2.829293e-09,7.0338635e-13,1.0,5.3757898e-08,1.3809147e-06,7,11,Ġrandom,Ġequivalent,ĠRandom,Ġrandomly,random,Ġsubclass,Ġrandomized,Ġsimilar,Random,Ġarbitrary
3,random,Ġrandom,3,random,Ġrandom,dance,human,True,['Ġdance'],['Ġhuman'],1,1,8.705906e-08,0.0015291091,0.024224704,0.9742081,3.7807644e-05,0.18160796,7,4,Ġrandom,Ġpart,Ġsubclass,Ġdance,Ġhobby,Ġbehavior,Ġbehaviour,Ġart,Ġmovement,Ġcharacteristic
