pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,event,2,event,event,turtle,live,True,['turtle'],['live'],1,1,0.0007748047,3.54714e-05,0.99761236,0.0008324539,3.377781e-05,0.00071121234,0.028427271,4,19,event,minor,attribute,random,events,coordinated,part,short,.,release,to,race
5,random,random,5,random,random,ant,experience,True,['ant'],['experience'],1,1,1.7038752e-07,6.528619e-07,2.108077e-06,1.6026167e-06,1.7309516e-07,0.99999547,9.844197e-05,1,8,random,event,minor,coordinated,randomly,part,attribute,specific,selection,social,population,culture
5,random,random,5,random,random,fighter,start,True,['fighter'],['start'],1,1,8.585779e-07,6.1409906e-07,0.0005833454,7.213755e-06,2.32479e-05,0.99938464,0.0076654553,3,22,random,event,part,minor,attribute,coordinated,season,race,cycle,sequence,phase,randomly
5,random,random,5,random,random,chisel,temperature,True,"['chi', '##sel']",['temperature'],2,1,1.0271634e-06,1.996899e-07,1.2302104e-05,2.4142312e-06,2.7789822e-05,0.99995625,0.00075430097,4,2,random,part,event,minor,attribute,specific,point,temperature,coordinated,time,state,heat
3,hyper,minor,3,hyper,minor,knife,artifact,True,['knife'],['artifact'],1,1,1.3453332e-08,3.6967425e-09,8.139624e-08,0.99999964,6.452739e-09,2.1456795e-07,7.7308805e-06,4,1,minor,major,important,other,random,small,key,another,event,lesser,unknown,significant
0,attri,attribute,0,attri,attribute,missile,short,True,['missile'],['short'],1,1,0.98135513,4.5970955e-06,0.00051122333,0.000110725356,0.000105151266,0.017913243,0.1391099,2,23,attribute,random,event,minor,part,attributes,-,:,variable,select,length,feature
4,mero,part,4,mero,part,cathedral,transept,True,['cathedral'],"['trans', '##ept']",1,2,6.225389e-07,1.4989237e-06,2.4134875e-05,0.00019590149,0.9990615,0.0007162186,0.011660746,3,1,part,random,minor,event,parts,side,one,short,-,single,portion,with
0,attri,attribute,0,attri,attribute,lemon,sour,True,['lemon'],['sour'],1,1,0.99978834,6.860224e-06,5.8706344e-05,0.000119136,2.1673125e-06,2.4793408e-05,0.0032212432,5,11,attribute,minor,event,random,attributes,coordinated,-,part,variable,key,extra,turn
5,random,random,5,random,random,robin,permanence,True,['robin'],"['per', '##man', '##ence']",1,3,3.9285362e-07,3.747858e-08,4.6351556e-06,5.31259e-06,4.3926975e-06,0.9999852,0.0002840026,2,1,random,minor,event,part,attribute,coordinated,phase,point,randomly,case,##cy,sequence
4,mero,part,4,mero,part,cathedral,stair,True,['cathedral'],['stair'],1,1,6.0569782e-06,5.017357e-06,0.00013061125,5.987694e-05,0.99941254,0.0003858596,0.007941239,3,1,part,random,event,minor,parts,one,full,side,main,attribute,coordinated,section
4,mero,part,4,mero,part,goose,plumage,True,['goose'],['plumage'],1,1,1.5403097e-05,5.6285626e-07,7.77428e-05,0.00041109038,0.9991155,0.00037958706,0.011531797,6,1,part,minor,random,event,parts,full,attribute,portion,section,body,component,partial
4,mero,part,4,mero,part,battleship,deck,True,['battleship'],['deck'],1,1,2.2295939e-05,1.45983195e-05,0.05086204,0.00047666454,0.9439359,0.0046884576,0.3392521,1,7,part,event,random,on,minor,section,full,off,split,half,short,open
2,event,event,2,event,event,bed,prepare,True,['bed'],['prepare'],1,1,0.00010662531,0.00023125553,0.60282046,0.0011054828,0.00032784295,0.3954083,0.98831874,13,8,event,random,minor,part,coordinated,attribute,events,individual,emergency,and,to,sequence
1,coord,coordinated,1,coord,coordinated,library,pub,True,['library'],['pub'],1,1,6.0001516e-06,0.9918799,0.00013068115,0.007856741,4.547176e-05,8.1185186e-05,0.070149444,5,1,coordinated,minor,event,and,random,/,part,or,-,national,",",major
4,mero,part,4,mero,part,villa,floor,True,['villa'],['floor'],1,1,3.3966884e-05,1.1623588e-05,0.0025468082,0.0012200774,0.8248654,0.17132218,0.69962406,4,12,part,random,event,minor,full,total,one,section,attribute,unit,per,-
1,coord,coordinated,1,coord,coordinated,corn,onion,True,['corn'],['onion'],1,1,3.0205786e-07,0.9998926,6.9074476e-06,2.240798e-05,2.9060702e-05,4.870327e-05,0.0017616787,9,3,coordinated,and,random,part,/,or,minor,",",event,&,coordination,-
3,hyper,minor,3,hyper,minor,battleship,artefact,True,['battleship'],"['arte', '##fa', '##ct']",1,3,1.4147258e-08,1.7084195e-08,9.100065e-07,0.99993396,9.609687e-07,6.4140084e-05,0.001026925,1,1,minor,random,major,part,event,small,important,key,an,significant,other,natural
5,random,random,5,random,random,dresser,possible,True,['dresser'],['possible'],1,1,4.6097549e-07,8.32078e-08,3.6168735e-06,3.5542478e-06,8.064427e-07,0.9999914,0.00017000127,5,4,random,event,minor,part,attribute,randomly,coordinated,unknown,multiple,select,state,chance
5,random,random,5,random,random,ant,very,True,['ant'],['very'],1,1,0.0010121631,5.940447e-06,1.2873026e-05,7.040049e-05,4.7497974e-06,0.9988939,0.013031734,1,4,random,attribute,minor,event,coordinated,part,variable,unknown,attributes,species,number,select
2,event,event,2,event,event,desk,work,True,['desk'],['work'],1,1,0.0003103013,0.00012681294,0.93116236,0.0055300333,0.00024072075,0.06262976,0.39576226,1,34,event,random,minor,attribute,part,coordinated,events,set,social,field,spot,case
5,random,random,5,random,random,glove,pest,True,['glove'],['pest'],1,1,4.6888673e-07,1.2820356e-06,1.5767804e-06,4.6329504e-05,8.2237665e-07,0.99994946,0.0008218381,3,4,random,minor,event,coordinated,part,attribute,##less,unknown,the,##ball,randomly,social
5,random,random,5,random,random,radish,vinyl,True,"['ra', '##dis', '##h']",['vinyl'],3,1,0.00090868404,0.15120281,0.0052683037,0.009423231,0.13971324,0.69348365,1.2874783,5,2,random,coordinated,part,minor,event,attribute,on,off,split,sequential,short,red
1,coord,coordinated,1,coord,coordinated,cockroach,fly,True,"['cock', '##ro', '##ach']",['fly'],3,1,0.00048457299,0.51377434,0.46211544,0.014170727,0.00064294925,0.008812057,1.1676054,1,20,coordinated,event,minor,random,part,attribute,and,club,synchronized,night,social,short
