pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,Ġevent,2,event,Ġevent,turtle,live,True,['Ġturtle'],['Ġlive'],1,1,3.378853e-05,2.3623921e-05,0.9981363,0.0004722838,3.2751024e-05,0.0013012645,0.02173072,4,19,Ġevent,Ġrandom,Ġsubclass,Ġevents,ĠEvent,Ġattribute,Ġpart,Ġcoordinated,Ġcan,Ġwill,event,Ġlet
5,random,Ġrandom,5,random,Ġrandom,ant,experience,True,['Ġant'],['Ġexperience'],1,1,1.081006e-05,5.9008283e-07,0.00030618662,4.0864026e-05,9.136633e-06,0.99963236,0.005043662,1,8,Ġrandom,Ġevent,Ġsubclass,ĠRandom,Ġattribute,Ġpart,random,Ġrandomly,Random,Ġunique,Ġrandomized,Ġcoordinated
5,random,Ġrandom,5,random,Ġrandom,fighter,start,True,['Ġfighter'],['Ġstart'],1,1,0.00017353709,2.105027e-05,0.17657049,0.00035899985,0.001514707,0.8213613,0.6957084,3,22,Ġrandom,Ġevent,Ġpart,Ġsubclass,Ġattribute,Ġevents,Ġrandomly,ĠEvent,Ġcoordinated,Ġwill,Ġto,Ġend
5,random,Ġrandom,5,random,Ġrandom,chisel,temperature,True,"['Ġch', 'isel']",['Ġtemperature'],2,1,0.0009611639,5.294456e-06,0.0012919771,0.000105338884,0.0006766452,0.9969597,0.035020705,4,2,Ġrandom,Ġevent,Ġattribute,Ġpart,Ġsubclass,ĠRandom,Ġarbitrary,Ġrandomly,Ġunique,random,Ġcoordinated,Ġodd
3,hyper,Ġsubclass,3,hyper,Ġsubclass,knife,artifact,True,['Ġknife'],['Ġartifact'],1,1,2.7987617e-06,4.975168e-06,1.3902224e-05,0.9999709,1.4659358e-07,7.270964e-06,0.00053297996,4,1,Ġsubclass,Ġevent,Ġrandom,Ġcoordinated,Ġattribute,Ġclass,Ġtype,Ġcategory,Ġunique,Ġother,Ġpart,Ġan
0,attri,Ġattribute,0,attri,Ġattribute,missile,short,True,['Ġmissile'],['Ġshort'],1,1,0.9980831,1.2810916e-05,5.7965593e-05,8.4738844e-05,1.4060152e-05,0.0017473064,0.021166185,2,23,Ġattribute,Ġrandom,Ġsubclass,Ġevent,Ġattributes,Ġpart,Ġcoordinated,Ġis,Ġcharacteristic,Ġaverage,Ġtype,Ġclass
4,mero,Ġpart,4,mero,Ġpart,cathedral,transept,True,['Ġcathedral'],"['Ġtr', 'anse', 'pt']",1,3,7.6955475e-05,0.0011226676,0.00047301446,0.0008048787,0.9878614,0.009661055,0.107623495,3,1,Ġpart,Ġrandom,Ġcoordinated,Ġsubclass,Ġevent,Ġfull,Ġattribute,Ġcomplete,Ġmain,Ġcomponent,Ġportion,ĠPart
0,attri,Ġattribute,0,attri,Ġattribute,lemon,sour,True,['Ġlemon'],['Ġsour'],1,1,0.9959527,8.02435e-06,0.0035732638,0.00012037554,1.8288618e-05,0.0003273114,0.040652853,5,11,Ġattribute,Ġevent,Ġrandom,Ġsubclass,Ġattributes,Ġpart,Ġturn,Ġtrait,Ġcoordinated,Ġclass,Ġbe,Ġcharacteristic
5,random,Ġrandom,5,random,Ġrandom,robin,permanence,True,"['Ġrob', 'in']","['Ġperman', 'ence']",2,2,3.5323174e-05,1.1328646e-06,0.00014778765,9.091778e-05,4.5724617e-05,0.9996791,0.004767927,2,1,Ġrandom,Ġevent,Ġsubclass,Ġpart,Ġattribute,ĠRandom,random,Ġrandomly,Ġarbitrary,Ġodd,Ġunique,Ġcoordinated
4,mero,Ġpart,4,mero,Ġpart,cathedral,stair,True,['Ġcathedral'],['Ġstair'],1,1,3.2556854e-05,0.00073539175,0.0026396418,0.00014866298,0.9909723,0.0054714265,0.086716965,3,1,Ġpart,Ġrandom,Ġevent,Ġcoordinated,Ġsubclass,Ġone,Ġmain,Ġportion,Ġfront,Ġcentral,Ġside,ĠPart
