pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,event,2,event,event,turtle,live,True,['turtle'],['live'],1,1,0.0006377945,1.3624915e-05,0.99812967,0.00096138194,5.6742767e-05,0.00020067909,0.022586621,4,19,event,minor,attribute,random,part,events,coordinated,object,to,show,major,short
5,random,random,5,random,random,ant,experience,True,['ant'],['experience'],1,1,2.8279148e-06,2.2103338e-06,3.8069888e-05,3.0008896e-06,2.9719702e-06,0.9999509,0.00083294336,1,8,random,event,minor,part,attribute,coordinated,specific,social,selection,randomly,##less,population
5,random,random,5,random,random,fighter,start,True,['fighter'],['start'],1,1,2.1775744e-05,1.5114577e-05,0.009731618,1.38082005e-05,0.00060728134,0.9896103,0.08723956,3,22,random,event,part,attribute,coordinated,minor,season,race,phase,events,sequence,field
5,random,random,5,random,random,chisel,temperature,True,"['chi', '##sel']",['temperature'],2,1,4.988109e-05,7.4987756e-06,0.0012489173,3.69777e-05,0.0036129798,0.99504364,0.049874134,4,2,random,part,event,attribute,minor,specific,coordinated,point,release,effect,function,time
3,hyper,minor,3,hyper,minor,knife,artifact,True,['knife'],['artifact'],1,1,1.1254597e-06,7.72817e-08,2.2697368e-06,0.9999962,7.4686284e-08,2.5503047e-07,7.947895e-05,4,1,minor,major,other,important,event,small,attribute,related,lesser,common,significant,another
0,attri,attribute,0,attri,attribute,missile,short,True,['missile'],['short'],1,1,0.98365086,1.35854325e-05,0.0011825403,4.5357043e-05,0.00034094727,0.014766686,0.12949675,2,23,attribute,random,event,part,attributes,minor,length,coordinated,feature,-,:,parameter
4,mero,part,4,mero,part,cathedral,transept,True,['cathedral'],"['trans', '##ept']",1,2,1.4159774e-05,7.0655433e-06,6.563899e-05,3.1612613e-05,0.99959606,0.0002855421,0.005678413,3,1,part,random,event,minor,parts,attribute,coordinated,one,section,side,portion,with
0,attri,attribute,0,attri,attribute,lemon,sour,True,['lemon'],['sour'],1,1,0.9996189,7.0722745e-05,0.00024147637,5.83177e-05,2.8247337e-06,7.7554605e-06,0.0054302732,5,11,attribute,event,coordinated,minor,attributes,random,part,-,variable,auto,attributed,turn
5,random,random,5,random,random,robin,permanence,True,['robin'],"['per', '##man', '##ence']",1,3,5.4077145e-06,5.037874e-07,1.33695385e-05,3.788668e-06,6.319031e-05,0.9999138,0.0013956904,2,1,random,part,event,attribute,minor,coordinated,##cy,phase,point,sequence,chance,entropy
4,mero,part,4,mero,part,cathedral,stair,True,['cathedral'],['stair'],1,1,7.542171e-05,8.932925e-06,0.00024167977,3.1283453e-05,0.9994585,0.00018416878,0.0076204687,3,1,part,event,random,attribute,minor,parts,one,coordinated,full,section,side,portion
4,mero,part,4,mero,part,goose,plumage,True,['goose'],['plumage'],1,1,0.0007593363,6.757664e-06,0.0012676604,0.0008884358,0.99488384,0.0021938286,0.05592863,6,1,part,random,event,minor,attribute,parts,portion,full,component,body,section,coordinated
4,mero,part,4,mero,part,battleship,deck,True,['battleship'],['deck'],1,1,1.326994e-05,3.9928414e-06,0.0029817645,0.00015541831,0.99677783,6.766021e-05,0.032846957,1,7,part,event,minor,full,section,random,on,half,split,off,one,single
2,event,event,2,event,event,bed,prepare,True,['bed'],['prepare'],1,1,0.00046955346,0.00020542207,0.9677308,0.00026446336,0.000838958,0.030490912,0.21875593,13,8,event,random,part,attribute,minor,coordinated,events,to,and,function,.,location
1,coord,coordinated,1,coord,coordinated,library,pub,True,['library'],['pub'],1,1,4.748111e-05,0.9951154,0.00036737949,0.004452371,1.1598255e-05,5.7504135e-06,0.04697232,5,1,coordinated,minor,event,attribute,and,or,part,/,coordination,coordinate,major,-
4,mero,part,4,mero,part,villa,floor,True,['villa'],['floor'],1,1,4.860023e-05,6.4060687e-06,0.00082338514,9.026698e-05,0.99702567,0.002005643,0.0327147,4,12,part,random,event,minor,attribute,full,parts,section,total,one,portion,coordinated
1,coord,coordinated,1,coord,coordinated,corn,onion,True,['corn'],['onion'],1,1,2.9632255e-07,0.99999535,7.235597e-07,1.0084179e-06,1.4846721e-06,1.2333569e-06,0.00010110693,9,3,coordinated,and,coordination,or,/,part,random,minor,coordinate,event,coordinating,&
3,hyper,minor,3,hyper,minor,battleship,artefact,True,['battleship'],"['arte', '##fa', '##ct']",1,3,1.537561e-06,1.050051e-07,2.7894324e-05,0.9999455,1.736687e-05,7.5734906e-06,0.0009362092,1,1,minor,major,event,part,random,important,other,small,attribute,common,significant,principal
5,random,random,5,random,random,dresser,possible,True,['dresser'],['possible'],1,1,5.2237585e-05,1.1079524e-06,5.9515296e-05,1.3538038e-05,3.6231464e-05,0.9998374,0.0025883669,5,4,random,event,attribute,part,minor,coordinated,chance,randomly,function,select,unknown,location
5,random,random,5,random,random,ant,very,True,['ant'],['very'],1,1,0.05160837,4.9088412e-05,0.0009726289,0.00024067573,0.00014705522,0.9469822,0.31031433,1,4,random,attribute,event,minor,part,coordinated,attributes,individual,parameter,variable,unknown,number
2,event,event,2,event,event,desk,work,True,['desk'],['work'],1,1,0.0007629433,2.6864724e-05,0.9940362,0.00094929367,0.0005480113,0.0036766434,0.062090375,1,34,event,random,minor,attribute,part,events,coordinated,to,function,object,field,program
