pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,event,2,event,event,turtle,live,True,['turtle'],['live'],1,1,0.0006307692,0.00039710227,0.98676246,0.0050047906,0.004339782,0.002865121,0.12667327,4,19,event,minor,part,random,attribute,coordinated,to,events,-,small,it,can
5,random,random,5,random,random,ant,experience,True,['ant'],['experience'],1,1,4.8212896e-06,2.7667107e-07,7.091049e-06,2.0849277e-06,4.1904955e-06,0.99998164,0.00035334192,1,8,random,event,attribute,part,minor,coordinated,randomly,statistical,unknown,.,accidental,variable
2,event,event,5,random,random,fighter,start,False,['fighter'],['start'],1,1,0.00096049084,0.00026463356,0.7572558,0.00064555305,0.08633369,0.15453976,1.0448047,3,22,event,random,part,attribute,minor,coordinated,events,point,phase,-,race,case
5,random,random,5,random,random,chisel,temperature,True,"['chi', '##sel']",['temperature'],2,1,8.741882e-05,5.279916e-07,4.7943882e-05,2.9177286e-06,0.00014628955,0.9997149,0.0042059286,4,2,random,part,attribute,event,minor,coordinated,variable,the,average,high,randomly,accidental
3,hyper,minor,3,hyper,minor,knife,artifact,True,['knife'],['artifact'],1,1,4.4219047e-05,3.9414055e-05,0.00034496124,0.9993544,7.7248864e-05,0.00013969831,0.008958895,4,1,minor,event,random,part,attribute,coordinated,major,small,an,important,secondary,related
0,attri,attribute,0,attri,attribute,missile,short,True,['missile'],['short'],1,1,0.9904392,3.6346395e-05,0.0021972458,0.00021740558,0.001650066,0.0054597803,0.0926032,2,23,attribute,random,event,part,minor,coordinated,feature,attributes,element,-,:,function
4,mero,part,4,mero,part,cathedral,transept,True,['cathedral'],"['trans', '##ept']",1,2,0.00011615972,0.0028489847,0.00053998607,0.00051204197,0.9797707,0.016212055,0.16236338,3,1,part,random,coordinated,event,minor,attribute,",",-,parts,the,central,:
0,attri,attribute,0,attri,attribute,lemon,sour,True,['lemon'],['sour'],1,1,0.99888664,2.0703014e-06,0.00073393877,2.8944025e-05,0.00019033863,0.00015804447,0.014070719,5,11,attribute,event,part,random,minor,attributes,feature,as,element,point,coordinated,:
5,random,random,5,random,random,robin,permanence,True,['robin'],"['per', '##man', '##ence']",1,3,3.342458e-05,2.6174066e-06,1.8589555e-05,6.464899e-06,1.2156533e-05,0.9999268,0.0012533586,2,1,random,attribute,event,part,minor,coordinated,randomly,.,in,accidental,statistical,select
4,mero,part,4,mero,part,cathedral,stair,True,['cathedral'],['stair'],1,1,4.6325662e-05,0.00059565157,0.0006050242,0.00015129067,0.9661048,0.032496948,0.22414893,3,1,part,random,event,coordinated,minor,attribute,side,parts,partial,section,central,the
4,mero,part,4,mero,part,goose,plumage,True,['goose'],['plumage'],1,1,4.8337908e-05,8.283727e-05,0.0007557486,0.0006300795,0.99620736,0.002275452,0.041790918,6,1,part,random,event,minor,coordinated,attribute,partial,parts,portion,component,the,full
4,mero,part,4,mero,part,battleship,deck,True,['battleship'],['deck'],1,1,0.0001404678,0.00028900232,0.0026211813,0.00020740085,0.9737143,0.023027569,0.19291182,1,7,part,random,event,coordinated,minor,attribute,partial,parts,section,full,half,side
2,event,event,2,event,event,bed,prepare,True,['bed'],['prepare'],1,1,0.0027025156,0.00023494252,0.83723027,0.00071201765,0.0053798654,0.15374039,0.70379245,13,8,event,random,part,attribute,minor,coordinated,events,to,-,not,order,object
1,coord,coordinated,1,coord,coordinated,library,pub,True,['library'],['pub'],1,1,9.967652e-07,0.9998938,1.6319173e-05,2.5759673e-05,5.0169037e-05,1.3016725e-05,0.0017532993,5,1,coordinated,part,minor,event,random,and,or,",",joint,integrated,attribute,as
4,mero,part,4,mero,part,villa,floor,True,['villa'],['floor'],1,1,4.344384e-05,0.00023653427,0.00065403007,0.0002146871,0.9810962,0.01775516,0.14328358,4,12,part,random,event,coordinated,minor,attribute,partial,first,one,parts,full,second
1,coord,coordinated,1,coord,coordinated,corn,onion,True,['corn'],['onion'],1,1,4.1085954e-07,0.9999721,2.3551606e-06,1.205956e-06,1.3451314e-05,1.0569583e-05,0.0005092539,9,3,coordinated,part,random,and,event,",",minor,or,attribute,like,with,integrated
3,hyper,minor,3,hyper,minor,battleship,artefact,True,['battleship'],"['arte', '##fa', '##ct']",1,3,2.4773579e-05,8.672954e-06,0.00015393161,0.99958915,5.8832677e-05,0.00016463408,0.00596309,1,1,minor,random,event,part,attribute,major,coordinated,small,an,important,unknown,as
5,random,random,5,random,random,dresser,possible,True,['dresser'],['possible'],1,1,1.3656211e-05,3.1060898e-07,6.384656e-06,3.5988126e-06,7.646302e-06,0.9999683,0.0005781127,5,4,random,attribute,part,event,minor,coordinated,randomly,select,.,specific,unknown,accidental
5,random,random,5,random,random,ant,very,True,['ant'],['very'],1,1,0.000788951,5.0282097e-06,0.00011267684,3.0438838e-05,6.699729e-05,0.99899584,0.012532097,1,4,random,attribute,event,part,minor,coordinated,.,statistical,-,randomly,select,specific
2,event,event,2,event,event,desk,work,True,['desk'],['work'],1,1,0.001397528,0.0023118586,0.9430679,0.007888943,0.018451575,0.026882265,0.41489404,1,34,event,random,part,minor,coordinated,attribute,to,-,events,the,light,unit
5,random,random,5,random,random,glove,pest,True,['glove'],['pest'],1,1,4.035403e-05,9.244826e-06,6.55713e-05,9.823963e-06,2.9896535e-05,0.999845,0.0024910953,3,4,random,event,attribute,part,minor,coordinated,randomly,.,accidental,the,specific,unknown
5,random,random,5,random,random,radish,vinyl,True,"['ra', '##dis', '##h']",['vinyl'],3,1,9.435365e-05,1.8423201e-05,0.00015246557,2.6346437e-05,0.00065536646,0.99905306,0.012181613,5,2,random,part,event,attribute,minor,coordinated,randomly,accidental,.,in,date,the
2,event,event,1,coord,coordinated,cockroach,fly,False,"['cock', '##ro', '##ach']",['fly'],3,1,0.0013275831,0.007663297,0.93394625,0.0049661053,0.04699427,0.0051024565,0.44279152,1,20,event,part,coordinated,random,minor,attribute,-,events,to,and,small,not
1,coord,coordinated,2,event,event,sofa,couch,False,['sofa'],['couch'],1,1,0.0063517243,0.26703125,0.15313505,0.21280535,0.19986503,0.16081154,2.3329086,1,4,coordinated,minor,part,random,event,attribute,small,the,-,individual,a,little
2,event,event,2,event,event,rat,live,True,['rat'],['live'],1,1,0.00069728534,0.0004090651,0.98654765,0.004952335,0.0047481963,0.00264547,0.12841564,11,19,event,minor,part,random,attribute,coordinated,to,events,-,small,can,and
2,event,event,2,event,event,chisel,produce,True,"['chi', '##sel']",['produce'],2,1,0.00061762915,0.00039070653,0.9816476,0.0014811349,0.0022602885,0.013602532,0.1553633,4,8,event,random,part,minor,attribute,coordinated,events,to,-,can,.,will
5,random,random,5,random,random,piano,afford,True,['piano'],['afford'],1,1,0.0064721126,5.986707e-05,0.3992037,0.0014601295,0.0020925684,0.59071165,1.0577774,4,4,random,event,attribute,part,minor,coordinated,not,events,to,no,variable,can
1,coord,coordinated,1,coord,coordinated,tiger,elephant,True,['tiger'],['elephant'],1,1,3.6404492e-07,0.99989915,4.674013e-06,2.899968e-05,4.3583816e-05,2.3242816e-05,0.0016622905,2,2,coordinated,part,minor,random,event,",",and,joint,coordination,or,integrated,combined
5,random,random,5,random,random,pigeon,blend,True,['pigeon'],['blend'],1,1,5.3477524e-05,1.5368726e-06,8.0362384e-05,5.021533e-06,5.1926447e-05,0.99980766,0.0029865983,1,6,random,event,attribute,part,minor,coordinated,randomly,statistical,-,.,accidental,probability
5,random,random,5,random,random,coconut,pls,True,['coconut'],"['pl', '##s']",1,2,4.8249618e-05,1.3429791e-05,0.00014744909,1.7791835e-05,0.0002291706,0.99954385,0.0064953314,3,0,random,part,event,attribute,minor,coordinated,.,randomly,-,e,rev,","
2,event,event,2,event,event,robe,hang,True,['robe'],['hang'],1,1,0.0013349415,0.00099623,0.9586831,0.0040741423,0.027410246,0.007501531,0.308572,4,18,event,part,random,minor,attribute,coordinated,to,-,events,it,",",the
4,mero,part,4,mero,part,glove,leather,True,['glove'],['leather'],1,1,6.339601e-06,3.0284637e-05,8.190526e-05,3.947726e-05,0.9997178,0.0001243016,0.004273273,3,2,part,random,event,minor,coordinated,attribute,of,half,parts,portion,in,partial
4,mero,part,4,mero,part,cathedral,window,True,['cathedral'],['window'],1,1,4.924868e-05,0.0001943318,0.00024516037,4.7111927e-05,0.9926985,0.006765665,0.0659774,3,8,part,random,event,coordinated,attribute,minor,parts,partial,side,section,portion,full
2,event,event,2,event,event,turtle,lay,True,['turtle'],['lay'],1,1,0.00030214866,0.0004530188,0.99120116,0.001534199,0.004577866,0.001931581,0.08853546,4,16,event,part,random,minor,coordinated,attribute,to,events,-,it,and,can
5,random,random,5,random,random,saw,countryside,True,['saw'],['countryside'],1,1,2.161005e-05,1.1120364e-06,6.006626e-06,9.5030015e-07,1.3803906e-05,0.9999566,0.0007657317,28,1,random,attribute,part,event,coordinated,minor,randomly,the,statistical,unknown,accidental,select
